State,Clinton,Sanders
Iowa,23,21
New Hampshire,9,15
Nevada,20,15
South Carolina,39,14
Alambama,44,9
Arkansas,22,10
Colorado,28,38
Georgia,73,29
Massachusetts,46,45
Minnesota,31,46
Oklahoma,17,21
Tennessee,44,23
Texas,147,75
Vermont,0,16
Virginia,62,33
Kansas,9,24
Louisiana,37,14
Nebraska,10,15
Maine,9,16
Michigan,63,67
Mississippi,32,4
Florida,141,70
Illinois,76,73
Missouri,34,34
North Carolina,59,45
Ohio,81,62
Arizona,44,30
Idaho,5,17
Utah,6,26
Alaska,3,13
Hawaii,8,17
Washington,9,25
Total,1712,1004
